system:index,B11,B12,B2,B3,B4,B8,NDVI,OC,VH,VV,VV_div_VH,VV_minus_VH,aspect,elev,slope,.geo
00000000000000000971_0,3204.0,2510.5,1563.5,1792.5,2047.5,4146.0,0.33882296,19.2,-18.776411670420796,-11.57566198769292,0.6165002233056333,7.200749682727876,32,268,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.156936507189988,51.065136567652054]}"
0000000000000000074b_0,3623.0,3036.5,1466.0,1813.5,1808.0,4226.0,0.4007292,7.9,-18.81531346905399,-11.13960864490792,0.5920501225360666,7.67570482414607,0,46,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.36867856822066,53.00118566798645]}"
0000000000000000081b_0,2881.0,2095.0,1561.0,1780.0,1922.0,4431.0,0.39493152,39.6,-21.005488338290597,-13.232797774550924,0.6299685854210326,7.772690563739673,180,36,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.423277840367723,52.528761660067985]}"
0000000000000000091f_0,3351.0,2571.0,1603.0,1846.0,1840.0,4120.0,0.38255033,9,-18.057731667556798,-10.380843510032264,0.5748697400727734,7.676888157524534,0,37,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.467848001305605,52.799873212815264]}"
000000000000000006e2_0,3311.0,2077.0,1440.0,1911.0,1494.0,6375.0,0.6202821,9.9,-17.43150571900324,-8.594746315403567,0.4930581703010236,8.836759403599673,180,331,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.78828163743289,48.76437146196513]}"
000000000000000007aa_0,4060.5,3238.5,1948.0,2392.0,2725.0,4551.5,0.25101355,15.9,-19.541727832605996,-12.237756835451107,0.6262371956195203,7.30397099715489,218,219,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.739754314963031,50.7167699004705]}"
000000000000000007ae_0,3305.0,2635.5,1545.0,1932.0,2200.0,4350.5,0.32829556,10.3,-17.360849288383584,-8.331424611477289,0.4798972949469687,9.029424676906295,47,287,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.933520921747611,50.91646538813027]}"
000000000000000007f5_0,3134.0,2312.0,1574.0,1852.0,1764.0,4520.0,0.43857417,15.4,-17.407392260162993,-9.16003943913761,0.5262154895021501,8.247352821025384,180,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.689736450764979,54.325212565250204]}"
00000000000000000819_0,3707.0,3179.0,1760.0,1980.0,2036.0,3620.0,0.28005657,16.2,-21.646903641423993,-13.51379249008347,0.6242829327434699,8.133111151340524,239,69,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.869480190553592,52.53603801386936]}"
0000000000000000085c_0,4037.5,3673.0,1644.0,1933.0,2097.0,3300.0,0.22290161,22.1,-18.50459202342204,-9.965431910174795,0.5385383205185572,8.539160113247243,219,20,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.211181027505253,52.57852832680821]}"
0000000000000000087a_0,3266.0,2567.0,1803.0,2018.0,2194.0,4123.0,0.3053665,25,-20.760886996284345,-14.03113159293692,0.6758445145165582,6.729755403347426,0,44,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.073653531788406,52.43380973453655]}"
